CustomerSRKey,CustomerKey,CustomerCode,Name,Education,Occupation
1,13,11012,"Walker, Lauren",Bachelors,Management
2,14,11013,"Jenkins, Ian",Bachelors,Management
3,15,11014,"Bennett, Sydney",Bachelors,Management
4,16,11015,"Young, Chloe",Partial College,Skilled Manual
5,17,11016,"Hill, Wyatt",Partial College,Skilled Manual
6,41,11040,"Murphy, Jesse",Partial College,Skilled Manual
7,82,11081,"Baker, Savannah",Bachelors,Management
8,83,11082,"Butler, Angela",Graduate Degree,Management
9,84,11083,"Cox, Alyssa",Graduate Degree,Management
10,88,11087,"Liang, Tamara",Partial College,Professional
11,89,11088,"Davis, Hunter",Bachelors,Management
12,90,11089,"Price, Abigail",Bachelors,Management
13,91,11090,"Bryant, Trevor",Partial College,Professional
14,128,11127,"Edwards, Jan",High School,Skilled Manual
15,129,11128,"Long, Samantha",High School,Skilled Manual
16,130,11129,"Wright, Julia",High School,Skilled Manual
17,131,11130,"Russell, Caroline",High School,Skilled Manual
18,134,11133,"Griffin, Angela",Partial High School,Clerical
19,136,11135,"Harris, Marcus",Partial High School,Clerical
20,138,11137,"Taylor, Jasmine",High School,Skilled Manual
21,139,11138,"Davis, Lauren",High School,Skilled Manual
22,141,11140,"Alvarez, Javier",Partial High School,Clerical
23,142,11141,"Ramirez, Nicole",High School,Skilled Manual
24,144,11143,"Henderson, Jonathan",High School,Skilled Manual
25,145,11144,"Hernandez, Edward",High School,Skilled Manual
26,146,11145,"Coleman, Jasmine",High School,Skilled Manual
27,153,11152,"Williams, James",High School,Skilled Manual
28,154,11153,"James, Angela",High School,Skilled Manual
29,155,11154,"Walker, Megan",Partial College,Skilled Manual
30,156,11155,"Robinson, Hunter",Partial College,Skilled Manual
31,157,11156,"Roberts, Maria",Partial College,Skilled Manual
32,158,11157,"Long, Hannah",High School,Skilled Manual
33,159,11158,"Wright, Jason",High School,Skilled Manual
34,160,11159,"Hughes, Brianna",High School,Skilled Manual
35,161,11160,"Tang, Maurice",Partial College,Skilled Manual
36,162,11161,"Wood, Emily",Partial College,Skilled Manual
37,163,11162,"Cox, Chase",Partial College,Skilled Manual
38,164,11163,"Wang, Gabriel",Partial College,Skilled Manual
39,165,11164,"Brooks, Devin",Partial College,Skilled Manual
40,166,11165,"Alexander, Jocelyn",Partial College,Skilled Manual
41,167,11166,"Martinez, Ashley",Partial College,Skilled Manual
42,168,11167,"Barnes, Jasmine",Bachelors,Management
43,169,11168,"Rodriguez, David",Bachelors,Management
44,170,11169,"Richardson, Bryce",Bachelors,Management
45,171,11170,"Howard, Carol",Bachelors,Management
46,172,11171,"Hill, Jonathan",Bachelors,Management
47,173,11172,"Adams, Gabrielle",Bachelors,Management
48,174,11173,"Thomas, Sarah",Graduate Degree,Management
49,175,11174,"Robinson, Nicholas",Graduate Degree,Management
50,176,11175,"Wang, Luis",Partial College,Skilled Manual
51,178,11177,"Flores, Jose",Graduate Degree,Management
